Month,National_Days_on_Market,AnnArbor_Days_on_Market,National_Home_Sales,AnnArbor_Home_Sales,National_Inventory,AnnArbor_Inventory,National_New_Listings,AnnArbor_New_Listings,National_Price_Per_SquareFoot,AnnArbor_Price_Per_SquareFoot
15-Jan,78,85,"238,692",52,"1,353,961",267,"390,462",75,113,169.1
15-Feb,79,79,"260,582",71,"1,361,883",273,"401,525",90,113,160
15-Mar,70,65,"356,575",94,"1,409,731",322,"543,880",147,117,167.5
15-Apr,57,49,"384,132",83,"1,507,170",404,"619,292",209,121,188.9
15-May,49,46,"424,110",143,"1,582,720",453,"612,145",223,123,181.6
15-Jun,46,49,"496,466",185,"1,616,522",473,"593,759",215,125,184.4
15-Jul,46,50,"490,318",183,"1,634,640",467,"570,600",171,125,184.5
15-Aug,47,55,"443,343",165,"1,610,137",420,"500,804",135,125,182.9
15-Sep,50,48,"410,445",118,"1,580,923",396,"464,266",115,124,188
15-Oct,55,67,"387,347",90,"1,522,045",397,"437,436",118,124,184.5
15-Nov,58,71,"305,573",84,"1,417,395",337,"330,758",63,124,182.2
15-Dec,62,77,"380,325",97,"1,268,743",262,"258,177",41,124,174.8
16-Jan,67,105,"264,264",61,"1,253,831",248,"380,074",67,122,168.9
16-Feb,70,143,"282,286",60,"1,276,845",266,"447,495",100,120,179.7
16-Mar,62,85,"378,185",100,"1,341,466",340,"583,918",177,125,188.2
16-Apr,50,52,"407,712",97,"1,405,383",420,"605,574",195,128,199.3
16-May,44,52,"460,640",142,"1,441,106",489,"595,132",231,131,200.7
16-Jun,42,50,"516,425",174,"1,480,491",457,"596,803",155,133,193.9
16-Jul,42,56,"459,467",171,"1,496,637",448,"533,822",169,133,194.4
16-Aug,45,56,"479,955",137,"1,466,072",431,"512,029",137,133,195.1
16-Sep,48,57,"429,215",112,"1,444,987",414,"469,478",118,132,202.6
16-Oct,51,61,"391,720",106,"1,377,855",374,"417,211",95,133,189
16-Nov,52,70,"369,571",92,"1,267,329",308,"339,760",46,134,191.6
16-Dec,56,88,"387,350",89,"1,120,582",215,"253,497",31,132,187.7
17-Jan,61,115,"277,131",72,"1,106,319",195,"382,736",70,131,190.8
17-Feb,62,84,"282,858",58,"1,128,522",222,"434,135",92,130,190.7
17-Mar,52,49,"409,856",74,"1,194,833",322,"595,212",185,134,206.6
17-Apr,42,40,"398,047",85,"1,248,215",406,"565,938",192,137,226
17-May,39,47,"490,063",162,"1,300,462",404,"629,329",169,140,220.9
17-Jun,36,52,"539,563",164,"1,352,115",425,"613,833",200,142,208.4
17-Jul,37,50,"462,214",135,"1,364,586",385,"537,649",120,142,201.6
17-Aug,39,53,"489,564",151,"1,349,320",363,"527,221",131,142,208.8
17-Sep,44,66,"415,084",109,"1,326,355",328,"450,654",100,142,194.7
17-Oct,46,49,"407,716",95,"1,264,971",300,"440,358",88,141,204.3
17-Nov,48,66,"383,334",115,"1,160,848",248,"349,923",67,142,216.1
17-Dec,53,66,"387,576",84,"1,018,623",200,"249,749",47,141,203.4
18-Jan,56,64,"278,816",64,"1,004,034",177,"381,471",56,140,197.9
18-Feb,56,70,"288,584",60,"1,033,817",199,"430,281",85,140,191.1
18-Mar,48,41,"397,437",76,"1,081,521",261,"561,782",156,144,187.1
18-Apr,38,43,"414,180",114,"1,146,101",314,"597,622",189,147,211.8
18-May,34,44,"484,519",145,"1,236,405",392,"651,664",236,148,224.7
18-Jun,32,45,"515,817",152,"1,301,490",435,"607,469",193,151,228
18-Jul,34,49,"481,224",142,"1,319,390",418,"554,055",145,149,216.6
18-Aug,37,55,"492,980",145,"1,337,197",379,"545,085",128,149,224.6
18-Sep,41,56,"384,468",80,"1,345,837",388,"459,521",124,147,218.8
18-Oct,45,61,"405,887",99,"1,317,207",359,"462,059",101,148,214.3
18-Nov,48,67,"370,221",113,"1,233,671",274,"355,673",55,148,215.8
18-Dec,53,69,"345,247",76,"1,099,397",230,"242,822",45,146,198.3
19-Jan,59,80,"257,671",54,"1,103,490",224,"402,427",72,145,201.7
19-Feb,61,54,"288,709",66,"1,114,161",245,"415,806",99,145,224.6
19-Mar,52,35,"380,473",79,"1,157,654",315,"547,887",197,148,223.5
19-Apr,43,40,"424,613",120,"1,216,144",389,"607,536",178,152,229.9
19-May,38,47,"502,612",142,"1,296,532",473,"654,869",250,154,221.4
19-Jun,36,53,"489,714",155,"1,330,541",483,"578,411",166,155,227.5
19-Jul,36,54,"500,135",146,"1,321,494",445,"551,825",132,155,228.6
19-Aug,39,55,"493,148",147,"1,302,705",418,"521,923",137,154,222.3
19-Sep,42,55,"415,741",102,"1,288,111",403,"474,201",112,154,213.2
19-Oct,45,61,"424,572",105,"1,240,245",384,"462,465",101,155,219
19-Nov,46,64,"374,844",77,"1,128,318",332,"334,414",58,154,221.2
19-Dec,51,90,"398,289",96,"974,564",245,"245,968",34,154,210.8
20-Jan,57,81,"289,333",59,"960,115",234,"395,448",72,152,231.9
20-Feb,57,113,"310,859",63,"966,495",287,"439,334",130,153,215.7
20-Mar,45,53,"392,265",72,"1,002,683",338,"508,632",163,156,202.4
20-Apr,36,50,"345,165",88,"984,420",306,"370,340",65,157,207.2
20-May,38,51,"338,250",54,"963,231",420,"489,849",198,155,217.7
20-Jun,39,50,"469,447",126,"880,808",441,"533,511",169,159,228.7
20-Jul,34,49,"543,033",147,"806,553",412,"550,583",141,164,233.9
